"Výpis č. 2/2021 z účtu ""11110001/2010""",,,,,,,,,,,,,,,,,,
"Majitel účtu: Karel, Jouda, Adresa X",,,,,,,,,,,,,,,,,,
Vytvořeno v aplikaci X,,,,,,,,,,,,,,,,,,
Období: X,,,,,,,,,,,,,,,,,,
Počáteční stav účtu k 01.2.2021: 20000 CZK,,,,,,,,,,,,,,,,,,
Koncový stav účtu k 1.3.2021: 30000.5 CZK,,,,,,,,,,,,,,,,,,
Suma příjmů: X,,,,,,,,,,,,,,,,,,
Suma výdajů: X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID operace,Datum,Objem,Měna,Protiúčet,Název protiúčtu,Kód banky,Název banky,KS,VS,SS,Poznámka,Zpráva pro příjemce,Typ,Provedl,Upřesnění,Poznámka,BIC,ID pokynu
20000000000,1.2.2021,-1000,CZK,,,,x,x,,x,VÝPIS 112,VÝPIS 112,Bezhotovostní platba,x,x,VÝPIS 112,x,x
